"category","year","tags","tag_count"
"Heel technique",2013,"short-row-heel",397
"Heel technique",2014,"afterthought-heel",75
"Heel technique",2014,"dutch-heel",51
"Heel technique",2014,"heel-flap",1018
"Heel technique",2014,"other-heel",203
"Heel technique",2014,"short-row-heel",383
"Heel technique",2015,"afterthought-heel",108
"Heel technique",2015,"dutch-heel",36
"Heel technique",2015,"heel-flap",1066
"Heel technique",2015,"other-heel",199
"Heel technique",2015,"short-row-heel",355
"Heel technique",2016,"afterthought-heel",121
"Heel technique",2016,"dutch-heel",50
"Heel technique",2016,"heel-flap",1043
"Heel technique",2016,"other-heel",159
"Heel technique",2016,"short-row-heel",428
"Heel technique",2017,"afterthought-heel",164
"Heel technique",2017,"dutch-heel",102
"Heel technique",2017,"heel-flap",1160
"Heel technique",2017,"other-heel",192
"Heel technique",2017,"short-row-heel",620
"Heel technique",2018,"afterthought-heel",189
"Heel technique",2018,"dutch-heel",101
"Heel technique",2018,"heel-flap",1355
"Heel technique",2018,"other-heel",189
"Heel technique",2018,"short-row-heel",648
"Heel technique",2019,"afterthought-heel",204
"Heel technique",2019,"dutch-heel",113
"Heel technique",2019,"heel-flap",1360
"Heel technique",2019,"other-heel",209
"Heel technique",2019,"short-row-heel",648
"Heel technique",2020,"afterthought-heel",216
"Heel technique",2020,"dutch-heel",102
"Heel technique",2020,"heel-flap",1792
"Heel technique",2020,"other-heel",308
"Heel technique",2020,"short-row-heel",818
"Heel technique",2021,"afterthought-heel",297
"Heel technique",2021,"dutch-heel",141
"Heel technique",2021,"heel-flap",1785
"Heel technique",2021,"other-heel",282
"Heel technique",2021,"short-row-heel",835
"Heel technique",2022,"afterthought-heel",262
"Heel technique",2022,"dutch-heel",118
"Heel technique",2022,"heel-flap",1592
"Heel technique",2022,"other-heel",282
"Heel technique",2022,"short-row-heel",794
"Heel technique",2023,"afterthought-heel",186
"Heel technique",2023,"dutch-heel",105
"Heel technique",2023,"heel-flap",1623
"Heel technique",2023,"other-heel",227
"Heel technique",2023,"short-row-heel",747
"Regional / Ethnic Styles",2013,"Shetland",3
"Regional / Ethnic Styles",2013,"andean",2
"Regional / Ethnic Styles",2013,"aran",2
"Regional / Ethnic Styles",2013,"bavarian",17
"Regional / Ethnic Styles",2013,"estonian",7
"Regional / Ethnic Styles",2013,"fairisle",11
"Regional / Ethnic Styles",2013,"finnish",2
"Regional / Ethnic Styles",2013,"guernsey",10
"Regional / Ethnic Styles",2013,"icelandic",2
"Regional / Ethnic Styles",2013,"irish",1
"Regional / Ethnic Styles",2013,"latvian",10
"Regional / Ethnic Styles",2013,"norwegian",15
"Regional / Ethnic Styles",2013,"orenburg",1
"Regional / Ethnic Styles",2013,"swedish",2
"Regional / Ethnic Styles",2013,"turkish",4
"Regional / Ethnic Styles",2014,"Shetland",1
"Regional / Ethnic Styles",2014,"andean",1
"Regional / Ethnic Styles",2014,"aran",2
"Regional / Ethnic Styles",2014,"bavarian",16
"Regional / Ethnic Styles",2014,"danish",1
"Regional / Ethnic Styles",2014,"estonian",8
"Regional / Ethnic Styles",2014,"fairisle",4
"Regional / Ethnic Styles",2014,"faroese",2
"Regional / Ethnic Styles",2014,"finnish",10
"Regional / Ethnic Styles",2014,"guernsey",8
"Regional / Ethnic Styles",2014,"icelandic",3
"Regional / Ethnic Styles",2014,"latvian",3
"Regional / Ethnic Styles",2014,"norwegian",17
"Regional / Ethnic Styles",2014,"swedish",6
"Regional / Ethnic Styles",2014,"turkish",1
"Regional / Ethnic Styles",2015,"Shetland",2
"Regional / Ethnic Styles",2015,"aran",5
"Regional / Ethnic Styles",2015,"bavarian",24
"Regional / Ethnic Styles",2015,"estonian",15
"Regional / Ethnic Styles",2015,"fairisle",5
"Regional / Ethnic Styles",2015,"finnish",18
"Regional / Ethnic Styles",2015,"guernsey",5
"Regional / Ethnic Styles",2015,"icelandic",1
"Regional / Ethnic Styles",2015,"latvian",13
"Regional / Ethnic Styles",2015,"norwegian",23
"Regional / Ethnic Styles",2015,"sami",1
"Regional / Ethnic Styles",2015,"swedish",6
"Regional / Ethnic Styles",2016,"andean",1
"Regional / Ethnic Styles",2016,"bavarian",14
"Regional / Ethnic Styles",2016,"estonian",5
"Regional / Ethnic Styles",2016,"fairisle",6
"Regional / Ethnic Styles",2016,"finnish",8
"Regional / Ethnic Styles",2016,"guernsey",9
"Regional / Ethnic Styles",2016,"icelandic",1
"Regional / Ethnic Styles",2016,"irish",1
"Regional / Ethnic Styles",2016,"latvian",6
"Regional / Ethnic Styles",2016,"norwegian",22
"Regional / Ethnic Styles",2016,"swedish",7
"Regional / Ethnic Styles",2016,"turkish",1
"Regional / Ethnic Styles",2017,"Shetland",2
"Regional / Ethnic Styles",2017,"aran",1
"Regional / Ethnic Styles",2017,"bavarian",19
"Regional / Ethnic Styles",2017,"estonian",4
"Regional / Ethnic Styles",2017,"fairisle",10
"Regional / Ethnic Styles",2017,"finnish",6
"Regional / Ethnic Styles",2017,"guernsey",5
"Regional / Ethnic Styles",2017,"icelandic",3
