category,year,tags,clean_name,tag_count,total_tag
Sock Method,2017,start-in-middle,Starting in middle,5,120
Sock Method,2017,toe-up,Toe up,793,8390
Sock Method,2017,top-cuff-down,Top cuff down,1857,23415
Sock Method,2018,2-at-a-time,Two at a time,96,935
Sock Method,2018,noshaping,No shaping,108,1140
Sock Method,2018,seamed-sock,Seamed sock,23,231
Sock Method,2018,shaped-arches,Shaped arches,56,585
Sock Method,2018,start-in-middle,Starting in middle,9,120
Sock Method,2018,toe-up,Toe up,841,8390
Sock Method,2018,top-cuff-down,Top cuff down,2147,23415
Sock Method,2019,2-at-a-time,Two at a time,86,935
Sock Method,2019,noshaping,No shaping,113,1140
Sock Method,2019,seamed-sock,Seamed sock,17,231
Sock Method,2019,shaped-arches,Shaped arches,54,585
Sock Method,2019,start-in-middle,Starting in middle,11,120
Sock Method,2019,toe-up,Toe up,830,8390
Sock Method,2019,top-cuff-down,Top cuff down,2097,23415
Sock Method,2020,2-at-a-time,Two at a time,99,935
Sock Method,2020,noshaping,No shaping,129,1140
Sock Method,2020,seamed-sock,Seamed sock,23,231
Sock Method,2020,shaped-arches,Shaped arches,86,585
Sock Method,2020,start-in-middle,Starting in middle,15,120
Sock Method,2020,toe-up,Toe up,1028,8390
Sock Method,2020,top-cuff-down,Top cuff down,2734,23415
Sock Method,2021,2-at-a-time,Two at a time,91,935
Sock Method,2021,noshaping,No shaping,164,1140
Sock Method,2021,seamed-sock,Seamed sock,22,231
Sock Method,2021,shaped-arches,Shaped arches,67,585
Sock Method,2021,start-in-middle,Starting in middle,17,120
Sock Method,2021,toe-up,Toe up,987,8390
Sock Method,2021,top-cuff-down,Top cuff down,2962,23415
Sock Method,2022,2-at-a-time,Two at a time,65,935
Sock Method,2022,noshaping,No shaping,129,1140
Sock Method,2022,seamed-sock,Seamed sock,22,231
Sock Method,2022,shaped-arches,Shaped arches,60,585
Sock Method,2022,start-in-middle,Starting in middle,17,120
Sock Method,2022,toe-up,Toe up,871,8390
Sock Method,2022,top-cuff-down,Top cuff down,2713,23415
Sock Method,2023,2-at-a-time,Two at a time,63,935
Sock Method,2023,noshaping,No shaping,112,1140
Sock Method,2023,seamed-sock,Seamed sock,20,231
Sock Method,2023,shaped-arches,Shaped arches,45,585
Sock Method,2023,start-in-middle,Starting in middle,9,120
Sock Method,2023,toe-up,Toe up,737,8390
Sock Method,2023,top-cuff-down,Top cuff down,2561,23415
Toe,2013,other-toe,Other toe,328,4367
Toe,2013,short-row-toe,Short row toe,69,1015
Toe,2013,star-toe,Star toe,49,738
Toe,2013,wide-toe,Wide toe,177,2032
Toe,2014,other-toe,Other toe,278,4367
Toe,2014,short-row-toe,Short row toe,78,1015
Toe,2014,star-toe,Star toe,43,738
Toe,2014,wide-toe,Wide toe,131,2032
Toe,2015,other-toe,Other toe,316,4367
Toe,2015,short-row-toe,Short row toe,78,1015
Toe,2015,star-toe,Star toe,47,738
Toe,2015,wide-toe,Wide toe,153,2032
Toe,2016,other-toe,Other toe,299,4367
Toe,2016,short-row-toe,Short row toe,60,1015
Toe,2016,star-toe,Star toe,49,738
Toe,2016,wide-toe,Wide toe,111,2032
Toe,2017,other-toe,Other toe,369,4367
Toe,2017,short-row-toe,Short row toe,82,1015
Toe,2017,star-toe,Star toe,45,738
Toe,2017,wide-toe,Wide toe,132,2032
Toe,2018,other-toe,Other toe,375,4367
Toe,2018,short-row-toe,Short row toe,113,1015
Toe,2018,star-toe,Star toe,63,738
Toe,2018,wide-toe,Wide toe,190,2032
Toe,2019,other-toe,Other toe,361,4367
Toe,2019,short-row-toe,Short row toe,87,1015
Toe,2019,star-toe,Star toe,94,738
Toe,2019,wide-toe,Wide toe,183,2032
Toe,2020,other-toe,Other toe,515,4367
Toe,2020,short-row-toe,Short row toe,139,1015
Toe,2020,star-toe,Star toe,84,738
Toe,2020,wide-toe,Wide toe,222,2032
Toe,2021,other-toe,Other toe,580,4367
Toe,2021,short-row-toe,Short row toe,127,1015
Toe,2021,star-toe,Star toe,99,738
Toe,2021,wide-toe,Wide toe,267,2032
Toe,2022,other-toe,Other toe,512,4367
Toe,2022,short-row-toe,Short row toe,93,1015
Toe,2022,star-toe,Star toe,78,738
Toe,2022,wide-toe,Wide toe,238,2032
Toe,2023,other-toe,Other toe,434,4367
Toe,2023,short-row-toe,Short row toe,89,1015
Toe,2023,star-toe,Star toe,87,738
Toe,2023,wide-toe,Wide toe,228,2032
